month,airline,departing_port,arriving_port,sectors_flown,on_time_departures_pct
2020-01,Jetstar,Adelaide,Brisbane,27,66.66666666666666
2020-01,Jetstar,Adelaide,Gold Coast,30,50
2020-01,Jetstar,Adelaide,Melbourne,106,57.54716981132076
2020-01,Jetstar,Adelaide,Perth,20,55.00000000000001
2020-01,Jetstar,Adelaide,Sydney,87,79.3103448275862
2020-01,Jetstar,Ayers Rock,Sydney,27,55.55555555555556
2020-01,Jetstar,Ballina,Sydney,108,64.81481481481481
2020-01,Jetstar,Brisbane,Adelaide,29,65.51724137931035
2020-01,Jetstar,Brisbane,Cairns,104,67.3076923076923
2020-01,Jetstar,Brisbane,Darwin,25,92
2020-01,Jetstar,Brisbane,Hobart,43,90.69767441860465
2020-01,Jetstar,Brisbane,Mackay,31,77.41935483870968
2020-01,Jetstar,Brisbane,Melbourne,171,60.23391812865497
2020-01,Jetstar,Brisbane,Newcastle,80,66.25
2020-01,Jetstar,Brisbane,Proserpine,43,74.4186046511628
2020-01,Jetstar,Brisbane,Sydney,146,74.65753424657534
2020-01,Jetstar,Brisbane,Townsville,61,73.77049180327869
2020-01,Jetstar,Cairns,Brisbane,104,79.8076923076923
2020-01,Jetstar,Cairns,Melbourne,59,66.10169491525424
2020-01,Jetstar,Cairns,Sydney,91,82.41758241758241
2020-01,Jetstar,Darwin,Brisbane,25,96
2020-01,Jetstar,Darwin,Melbourne,26,73.07692307692307
2020-01,Jetstar,Darwin,Sydney,25,84
2020-01,Jetstar,Gold Coast,Adelaide,30,56.666666666666664
2020-01,Jetstar,Gold Coast,Melbourne,176,47.159090909090914
2020-01,Jetstar,Gold Coast,Sydney,278,59.71223021582733
2020-01,Jetstar,Hamilton Island,Sydney,30,63.33333333333333
2020-01,Jetstar,Hobart,Brisbane,43,81.3953488372093
2020-01,Jetstar,Hobart,Melbourne,211,62.08530805687204
2020-01,Jetstar,Hobart,Sydney,107,60.747663551401864
2020-01,Jetstar,Launceston,Melbourne,178,58.98876404494382
2020-01,Jetstar,Launceston,Sydney,61,60.65573770491803
2020-01,Jetstar,Mackay,Brisbane,31,54.83870967741935
2020-01,Jetstar,Melbourne,Adelaide,109,55.96330275229357
2020-01,Jetstar,Melbourne,Brisbane,171,60.23391812865497
2020-01,Jetstar,Melbourne,Cairns,60,56.666666666666664
2020-01,Jetstar,Melbourne,Darwin,26,65.38461538461539
2020-01,Jetstar,Melbourne,Gold Coast,176,58.52272727272727
2020-01,Jetstar,Melbourne,Hobart,211,73.93364928909952
2020-01,Jetstar,Melbourne,Launceston,176,72.1590909090909
2020-01,Jetstar,Melbourne,Newcastle,97,52.57731958762887
2020-01,Jetstar,Melbourne,Perth,53,67.9245283018868
2020-01,Jetstar,Melbourne,Sunshine Coast,55,85.45454545454545
2020-01,Jetstar,Melbourne,Sydney,437,63.61556064073226
2020-01,Jetstar,Newcastle,Brisbane,78,74.35897435897436
2020-01,Jetstar,Newcastle,Melbourne,96,62.5
2020-01,Jetstar,Perth,Adelaide,20,60
2020-01,Jetstar,Perth,Melbourne,53,71.69811320754717
2020-01,Jetstar,Perth,Sydney,30,86.66666666666667
2020-01,Jetstar,Proserpine,Brisbane,43,81.3953488372093
2020-01,Jetstar,Proserpine,Sydney,13,53.84615384615385
2020-01,Jetstar,Sunshine Coast,Melbourne,56,58.92857142857143
2020-01,Jetstar,Sunshine Coast,Sydney,61,44.26229508196721
2020-01,Jetstar,Sydney,Adelaide,87,66.66666666666666
2020-01,Jetstar,Sydney,Ayers Rock,26,73.07692307692307
2020-01,Jetstar,Sydney,Ballina,107,74.76635514018692
2020-01,Jetstar,Sydney,Brisbane,148,58.108108108108105
2020-01,Jetstar,Sydney,Cairns,91,74.72527472527473
2020-01,Jetstar,Sydney,Darwin,25,72
2020-01,Jetstar,Sydney,Gold Coast,282,66.31205673758865
2020-01,Jetstar,Sydney,Hamilton Island,30,90
2020-01,Jetstar,Sydney,Hobart,106,59.43396226415094
2020-01,Jetstar,Sydney,Launceston,62,72.58064516129032
2020-01,Jetstar,Sydney,Melbourne,440,60.45454545454545
2020-01,Jetstar,Sydney,Perth,31,77.41935483870968
2020-01,Jetstar,Sydney,Proserpine,13,46.15384615384615
2020-01,Jetstar,Sydney,Sunshine Coast,62,64.51612903225806
2020-01,Jetstar,Sydney,Townsville,30,76.66666666666667
2020-01,Jetstar,Townsville,Brisbane,61,73.77049180327869
2020-01,Jetstar,Townsville,Sydney,30,66.66666666666666
2020-01,Jetstar,All Ports,All Ports,7442,65.99032518140285
2020-01,Qantas,Adelaide,Alice Springs,31,87.09677419354838
2020-01,Qantas,Adelaide,Brisbane,107,91.58878504672897
2020-01,Qantas,Adelaide,Canberra,30,93.33333333333333
2020-01,Qantas,Adelaide,Melbourne,246,74.79674796747967
2020-01,Qantas,Adelaide,Perth,107,83.17757009345794
2020-01,Qantas,Adelaide,Sydney,252,81.74603174603175
2020-01,Qantas,Alice Springs,Adelaide,32,78.125
2020-01,Qantas,Brisbane,Adelaide,106,82.0754716981132
2020-01,Qantas,Brisbane,Cairns,21,85.71428571428571
2020-01,Qantas,Brisbane,Darwin,30,90
2020-01,Qantas,Brisbane,Melbourne,382,73.56020942408377
2020-01,Qantas,Brisbane,Perth,144,66.66666666666666
2020-01,Qantas,Brisbane,Sydney,490,79.59183673469387
2020-01,Qantas,Brisbane,Townsville,35,82.85714285714286
2020-01,Qantas,Broome,Perth,2,0
2020-01,Qantas,Cairns,Brisbane,21,85.71428571428571
2020-01,Qantas,Cairns,Melbourne,36,55.55555555555556
2020-01,Qantas,Cairns,Sydney,70,70
2020-01,Qantas,Canberra,Adelaide,29,93.10344827586206
2020-01,Qantas,Canberra,Melbourne,159,79.87421383647799
2020-01,Qantas,Darwin,Brisbane,31,74.19354838709677
2020-01,Qantas,Darwin,Melbourne,26,80.76923076923077
2020-01,Qantas,Darwin,Perth,31,96.7741935483871
2020-01,Qantas,Darwin,Sydney,31,83.87096774193549
2020-01,Qantas,Gold Coast,Melbourne,42,33.33333333333333
2020-01,Qantas,Gold Coast,Sydney,157,57.961783439490446
2020-01,Qantas,Hamilton Island,Sydney,12,83.33333333333334
2020-01,Qantas,Hobart,Melbourne,120,68.33333333333333
2020-01,Qantas,Kalgoorlie,Perth,12,91.66666666666666
2020-01,Qantas,Karratha,Perth,60,91.66666666666666
2020-01,Qantas,Melbourne,Adelaide,245,78.77551020408163
2020-01,Qantas,Melbourne,Brisbane,380,76.31578947368422
2020-01,Qantas,Melbourne,Cairns,37,75.67567567567568
2020-01,Qantas,Melbourne,Canberra,159,77.35849056603774
2020-01,Qantas,Melbourne,Darwin,26,92.3076923076923
2020-01,Qantas,Melbourne,Gold Coast,43,83.72093023255815
2020-01,Qantas,Melbourne,Hobart,120,72.5
2020-01,Qantas,Melbourne,Perth,206,65.53398058252428
2020-01,Qantas,Melbourne,Sydney,847,79.81109799291617
2020-01,Qantas,Newman,Perth,40,90
2020-01,Qantas,Perth,Adelaide,108,77.77777777777779
2020-01,Qantas,Perth,Brisbane,145,83.44827586206897
2020-01,Qantas,Perth,Broome,2,0
2020-01,Qantas,Perth,Darwin,31,100
2020-01,Qantas,Perth,Kalgoorlie,12,83.33333333333334
2020-01,Qantas,Perth,Karratha,60,95
2020-01,Qantas,Perth,Melbourne,207,68.11594202898551
2020-01,Qantas,Perth,Newman,40,100
2020-01,Qantas,Perth,Port Hedland,26,96.15384615384616
2020-01,Qantas,Perth,Sydney,194,70.61855670103093
2020-01,Qantas,Port Hedland,Perth,25,88
2020-01,Qantas,Sydney,Adelaide,254,77.55905511811024
2020-01,Qantas,Sydney,Brisbane,494,76.51821862348179
2020-01,Qantas,Sydney,Cairns,70,77.14285714285715
2020-01,Qantas,Sydney,Darwin,31,58.06451612903226
2020-01,Qantas,Sydney,Gold Coast,154,77.92207792207793
2020-01,Qantas,Sydney,Hamilton Island,11,81.81818181818183
2020-01,Qantas,Sydney,Melbourne,847,74.14403778040142
2020-01,Qantas,Sydney,Perth,193,54.92227979274611
2020-01,Qantas,Townsville,Brisbane,35,82.85714285714286
2020-01,Qantas,All Ports,All Ports,8189,76.52949078031506
2020-01,QantasLink,Adelaide,Canberra,4,100
2020-01,QantasLink,Adelaide,Port Lincoln,103,87.37864077669903
2020-01,QantasLink,Albury,Sydney,72,69.44444444444444
2020-01,QantasLink,Alice Springs,Darwin,34,100
2020-01,QantasLink,Armidale,Sydney,101,61.386138613861384
2020-01,QantasLink,Brisbane,Bundaberg,105,91.42857142857143
